file,question_no,type,answer,explanation
t01_b.md,1,single,C,x=-4
t01_b.md,2,single,D,Выносим полный квадрат из-под корня.
t01_b.md,3,single,D,x=-2
t01_b.md,4,single,A,Выносим полный квадрат из-под корня.
t01_b.md,5,single,B,x=7
t01_b.md,6,single,E,Выносим полный квадрат из-под корня.
t01_b.md,7,single,C,x=8
t01_b.md,8,single,D,Выносим полный квадрат из-под корня.
t01_b.md,9,single,B,x=4
t01_b.md,10,single,D,Выносим полный квадрат из-под корня.
t01_b.md,11,single,A,x=-1
t01_b.md,12,single,E,Выносим полный квадрат из-под корня.
t01_b.md,13,single,A,x=2
t01_b.md,14,single,E,Выносим полный квадрат из-под корня.
t01_b.md,15,single,A,x=-2
t01_b.md,16,single,C,Выносим полный квадрат из-под корня.
t01_b.md,17,single,A,x=3
t01_b.md,18,single,C,Выносим полный квадрат из-под корня.
t01_b.md,19,single,B,x=-3
t01_b.md,20,single,A,Выносим полный квадрат из-под корня.
t01_b.md,21,single,E,x=8
t01_b.md,22,single,B,Выносим полный квадрат из-под корня.
t01_b.md,23,single,B,x=6
t01_b.md,24,single,C,Выносим полный квадрат из-под корня.
t01_b.md,25,single,E,x=0
t01_b.md,26,context_single,D,Выносим полный квадрат из-под корня.
t01_b.md,27,context_single,A,x=5
t01_b.md,28,context_single,A,Выносим полный квадрат из-под корня.
t01_b.md,29,context_single,E,x=3
t01_b.md,30,context_single,B,Выносим полный квадрат из-под корня.
t01_b.md,31,multi,ABD,Верные утверждения соответствуют базовым правилам темы.
t01_b.md,32,multi,ABD,Верные утверждения соответствуют базовым правилам темы.
t01_b.md,33,multi,ABD,Верные утверждения соответствуют базовым правилам темы.
t01_b.md,34,multi,ABD,Верные утверждения соответствуют базовым правилам темы.
t01_b.md,35,multi,ABD,Верные утверждения соответствуют базовым правилам темы.
t01_b.md,36,matching,"1-D, 2-A, 3-B, 4-C",Соответствие между понятием и правилом.
t01_b.md,37,matching,"1-C, 2-D, 3-B, 4-A",Соответствие между понятием и правилом.
t01_b.md,38,matching,"1-C, 2-A, 3-D, 4-B",Соответствие между понятием и правилом.
t01_b.md,39,matching,"1-A, 2-B, 3-D, 4-C",Соответствие между понятием и правилом.
t01_b.md,40,matching,"1-B, 2-D, 3-C, 4-A",Соответствие между понятием и правилом.
t01_m.md,1,single,A,x=4
t01_m.md,2,single,E,Выносим полный квадрат из-под корня.
t01_m.md,3,single,E,x=2
t01_m.md,4,single,A,Выносим полный квадрат из-под корня.
t01_m.md,5,single,C,x=1
t01_m.md,6,single,E,Выносим полный квадрат из-под корня.
t01_m.md,7,single,B,x=1
t01_m.md,8,single,E,Выносим полный квадрат из-под корня.
t01_m.md,9,single,C,x=1
t01_m.md,10,single,D,Выносим полный квадрат из-под корня.
t01_m.md,11,single,C,x=-5
t01_m.md,12,single,D,Выносим полный квадрат из-под корня.
t01_m.md,13,single,D,x=-4
t01_m.md,14,single,C,Выносим полный квадрат из-под корня.
t01_m.md,15,single,B,x=-3
t01_m.md,16,single,D,Выносим полный квадрат из-под корня.
t01_m.md,17,single,E,x=-1
t01_m.md,18,single,B,Выносим полный квадрат из-под корня.
t01_m.md,19,single,D,x=8
t01_m.md,20,single,A,Выносим полный квадрат из-под корня.
t01_m.md,21,single,A,x=-2
t01_m.md,22,single,E,Выносим полный квадрат из-под корня.
t01_m.md,23,single,A,x=0
t01_m.md,24,single,D,Выносим полный квадрат из-под корня.
t01_m.md,25,single,E,x=-3
t01_m.md,26,context_single,E,Выносим полный квадрат из-под корня.
t01_m.md,27,context_single,B,x=-4
t01_m.md,28,context_single,D,Выносим полный квадрат из-под корня.
t01_m.md,29,context_single,B,x=7
t01_m.md,30,context_single,C,Выносим полный квадрат из-под корня.
t01_m.md,31,multi,ABD,Верные утверждения соответствуют базовым правилам темы.
t01_m.md,32,multi,ABD,Верные утверждения соответствуют базовым правилам темы.
t01_m.md,33,multi,ABD,Верные утверждения соответствуют базовым правилам темы.
t01_m.md,34,multi,ABD,Верные утверждения соответствуют базовым правилам темы.
t01_m.md,35,multi,ABD,Верные утверждения соответствуют базовым правилам темы.
t01_m.md,36,matching,"1-B, 2-C, 3-D, 4-A",Соответствие между понятием и правилом.
t01_m.md,37,matching,"1-C, 2-D, 3-B, 4-A",Соответствие между понятием и правилом.
t01_m.md,38,matching,"1-A, 2-C, 3-B, 4-D",Соответствие между понятием и правилом.
t01_m.md,39,matching,"1-D, 2-C, 3-B, 4-A",Соответствие между понятием и правилом.
t01_m.md,40,matching,"1-A, 2-B, 3-C, 4-D",Соответствие между понятием и правилом.
t01_h.md,1,single,C,x=-4
t01_h.md,2,single,B,Выносим полный квадрат из-под корня.
t01_h.md,3,single,D,x=4
t01_h.md,4,single,C,Выносим полный квадрат из-под корня.
t01_h.md,5,single,A,x=0
t01_h.md,6,single,C,Выносим полный квадрат из-под корня.
t01_h.md,7,single,B,x=1
t01_h.md,8,single,A,Выносим полный квадрат из-под корня.
t01_h.md,9,single,B,x=2
t01_h.md,10,single,C,Выносим полный квадрат из-под корня.
t01_h.md,11,single,D,x=-1
t01_h.md,12,single,B,Выносим полный квадрат из-под корня.
t01_h.md,13,single,C,x=6
t01_h.md,14,single,C,Выносим полный квадрат из-под корня.
t01_h.md,15,single,E,x=3
t01_h.md,16,single,A,Выносим полный квадрат из-под корня.
t01_h.md,17,single,C,x=6
t01_h.md,18,single,B,Выносим полный квадрат из-под корня.
t01_h.md,19,single,B,x=-1
t01_h.md,20,single,B,Выносим полный квадрат из-под корня.
t01_h.md,21,single,B,x=1
t01_h.md,22,single,D,Выносим полный квадрат из-под корня.
t01_h.md,23,single,B,x=-5
t01_h.md,24,single,B,Выносим полный квадрат из-под корня.
t01_h.md,25,single,C,x=0
t01_h.md,26,context_single,C,Выносим полный квадрат из-под корня.
t01_h.md,27,context_single,A,x=0
t01_h.md,28,context_single,D,Выносим полный квадрат из-под корня.
t01_h.md,29,context_single,E,x=-2
t01_h.md,30,context_single,C,Выносим полный квадрат из-под корня.
t01_h.md,31,multi,ABD,Верные утверждения соответствуют базовым правилам темы.
t01_h.md,32,multi,ABD,Верные утверждения соответствуют базовым правилам темы.
t01_h.md,33,multi,ABD,Верные утверждения соответствуют базовым правилам темы.
t01_h.md,34,multi,ABD,Верные утверждения соответствуют базовым правилам темы.
t01_h.md,35,multi,ABD,Верные утверждения соответствуют базовым правилам темы.
t01_h.md,36,matching,"1-B, 2-A, 3-C, 4-D",Соответствие между понятием и правилом.
t01_h.md,37,matching,"1-A, 2-D, 3-B, 4-C",Соответствие между понятием и правилом.
t01_h.md,38,matching,"1-C, 2-A, 3-D, 4-B",Соответствие между понятием и правилом.
t01_h.md,39,matching,"1-B, 2-D, 3-A, 4-C",Соответствие между понятием и правилом.
t01_h.md,40,matching,"1-D, 2-C, 3-B, 4-A",Соответствие между понятием и правилом.
t02_b.md,1,single,C,При умножении степеней с одинаковым основанием показатели складываются.
t02_b.md,2,single,A,Сравниваем показатели степеней с одинаковым основанием.
t02_b.md,3,single,C,При умножении степеней с одинаковым основанием показатели складываются.
t02_b.md,4,single,C,Сравниваем показатели степеней с одинаковым основанием.
t02_b.md,5,single,B,При умножении степеней с одинаковым основанием показатели складываются.
t02_b.md,6,single,A,Сравниваем показатели степеней с одинаковым основанием.
t02_b.md,7,single,B,При умножении степеней с одинаковым основанием показатели складываются.
t02_b.md,8,single,A,Сравниваем показатели степеней с одинаковым основанием.
t02_b.md,9,single,B,При умножении степеней с одинаковым основанием показатели складываются.
t02_b.md,10,single,D,Сравниваем показатели степеней с одинаковым основанием.
t02_b.md,11,single,A,При умножении степеней с одинаковым основанием показатели складываются.
t02_b.md,12,single,A,Сравниваем показатели степеней с одинаковым основанием.
t02_b.md,13,single,C,При умножении степеней с одинаковым основанием показатели складываются.
t02_b.md,14,single,A,Сравниваем показатели степеней с одинаковым основанием.
t02_b.md,15,single,C,При умножении степеней с одинаковым основанием показатели складываются.
t02_b.md,16,single,D,Сравниваем показатели степеней с одинаковым основанием.
t02_b.md,17,single,E,При умножении степеней с одинаковым основанием показатели складываются.
t02_b.md,18,single,C,Сравниваем показатели степеней с одинаковым основанием.
t02_b.md,19,single,E,При умножении степеней с одинаковым основанием показатели складываются.
t02_b.md,20,single,C,Сравниваем показатели степеней с одинаковым основанием.
t02_b.md,21,single,A,При умножении степеней с одинаковым основанием показатели складываются.
t02_b.md,22,single,D,Сравниваем показатели степеней с одинаковым основанием.
t02_b.md,23,single,E,При умножении степеней с одинаковым основанием показатели складываются.
t02_b.md,24,single,E,Сравниваем показатели степеней с одинаковым основанием.
t02_b.md,25,single,C,При умножении степеней с одинаковым основанием показатели складываются.
t02_b.md,26,context_single,C,Сравниваем показатели степеней с одинаковым основанием.
t02_b.md,27,context_single,B,При умножении степеней с одинаковым основанием показатели складываются.
t02_b.md,28,context_single,A,Сравниваем показатели степеней с одинаковым основанием.
t02_b.md,29,context_single,A,При умножении степеней с одинаковым основанием показатели складываются.
t02_b.md,30,context_single,D,Сравниваем показатели степеней с одинаковым основанием.
t02_b.md,31,multi,ABD,Верные утверждения соответствуют базовым правилам темы.
t02_b.md,32,multi,ABD,Верные утверждения соответствуют базовым правилам темы.
t02_b.md,33,multi,ABD,Верные утверждения соответствуют базовым правилам темы.
t02_b.md,34,multi,ABD,Верные утверждения соответствуют базовым правилам темы.
t02_b.md,35,multi,ABD,Верные утверждения соответствуют базовым правилам темы.
t02_b.md,36,matching,"1-D, 2-B, 3-A, 4-C",Соответствие между понятием и правилом.
t02_b.md,37,matching,"1-B, 2-C, 3-A, 4-D",Соответствие между понятием и правилом.
t02_b.md,38,matching,"1-A, 2-B, 3-C, 4-D",Соответствие между понятием и правилом.
t02_b.md,39,matching,"1-D, 2-C, 3-B, 4-A",Соответствие между понятием и правилом.
