file,topic_id,topic,level,question,type,answer
t01_b.md,01,Общегеографические методы. Исследования и исследователи,Базовый,1,single,C
t01_b.md,01,Общегеографические методы. Исследования и исследователи,Базовый,2,single,D
t01_b.md,01,Общегеографические методы. Исследования и исследователи,Базовый,3,single,B
t01_b.md,01,Общегеографические методы. Исследования и исследователи,Базовый,4,single,D
t01_b.md,01,Общегеографические методы. Исследования и исследователи,Базовый,5,single,B
t01_b.md,01,Общегеографические методы. Исследования и исследователи,Базовый,6,single,C
t01_b.md,01,Общегеографические методы. Исследования и исследователи,Базовый,7,single,C
t01_b.md,01,Общегеографические методы. Исследования и исследователи,Базовый,8,single,B
t01_b.md,01,Общегеографические методы. Исследования и исследователи,Базовый,9,single,A
t01_b.md,01,Общегеографические методы. Исследования и исследователи,Базовый,10,single,D
t01_b.md,01,Общегеографические методы. Исследования и исследователи,Базовый,11,single,A
t01_b.md,01,Общегеографические методы. Исследования и исследователи,Базовый,12,single,D
t01_b.md,01,Общегеографические методы. Исследования и исследователи,Базовый,13,single,C
t01_b.md,01,Общегеографические методы. Исследования и исследователи,Базовый,14,single,D
t01_b.md,01,Общегеографические методы. Исследования и исследователи,Базовый,15,single,D
t01_b.md,01,Общегеографические методы. Исследования и исследователи,Базовый,16,single,B
t01_b.md,01,Общегеографические методы. Исследования и исследователи,Базовый,17,single,A
t01_b.md,01,Общегеографические методы. Исследования и исследователи,Базовый,18,single,D
t01_b.md,01,Общегеографические методы. Исследования и исследователи,Базовый,19,single,C
t01_b.md,01,Общегеографические методы. Исследования и исследователи,Базовый,20,single,C
t01_b.md,01,Общегеографические методы. Исследования и исследователи,Базовый,21,single,D
t01_b.md,01,Общегеографические методы. Исследования и исследователи,Базовый,22,single,A
t01_b.md,01,Общегеографические методы. Исследования и исследователи,Базовый,23,single,A
t01_b.md,01,Общегеографические методы. Исследования и исследователи,Базовый,24,single,A
t01_b.md,01,Общегеографические методы. Исследования и исследователи,Базовый,25,single,B
t01_b.md,01,Общегеографические методы. Исследования и исследователи,Базовый,26,context_single,C
t01_b.md,01,Общегеографические методы. Исследования и исследователи,Базовый,27,context_single,D
t01_b.md,01,Общегеографические методы. Исследования и исследователи,Базовый,28,context_single,C
t01_b.md,01,Общегеографические методы. Исследования и исследователи,Базовый,29,context_single,A
t01_b.md,01,Общегеографические методы. Исследования и исследователи,Базовый,30,context_single,B
t01_b.md,01,Общегеографические методы. Исследования и исследователи,Базовый,31,multi,BD
t01_b.md,01,Общегеографические методы. Исследования и исследователи,Базовый,32,multi,BD
t01_b.md,01,Общегеографические методы. Исследования и исследователи,Базовый,33,multi,CD
t01_b.md,01,Общегеографические методы. Исследования и исследователи,Базовый,34,multi,BC
t01_b.md,01,Общегеографические методы. Исследования и исследователи,Базовый,35,multi,AC
t01_b.md,01,Общегеографические методы. Исследования и исследователи,Базовый,36,match,"1-A, 2-B, 3-C, 4-D"
t01_b.md,01,Общегеографические методы. Исследования и исследователи,Базовый,37,match,"1-A, 2-B, 3-D, 4-C"
t01_b.md,01,Общегеографические методы. Исследования и исследователи,Базовый,38,match,"1-A, 2-D, 3-B, 4-C"
t01_b.md,01,Общегеографические методы. Исследования и исследователи,Базовый,39,match,"1-A, 2-D, 3-B, 4-C"
t01_b.md,01,Общегеографические методы. Исследования и исследователи,Базовый,40,match,"1-D, 2-B, 3-C, 4-A"
t01_m.md,01,Общегеографические методы. Исследования и исследователи,Средний,1,single,D
t01_m.md,01,Общегеографические методы. Исследования и исследователи,Средний,2,single,A
t01_m.md,01,Общегеографические методы. Исследования и исследователи,Средний,3,single,C
t01_m.md,01,Общегеографические методы. Исследования и исследователи,Средний,4,single,D
t01_m.md,01,Общегеографические методы. Исследования и исследователи,Средний,5,single,C
t01_m.md,01,Общегеографические методы. Исследования и исследователи,Средний,6,single,C
t01_m.md,01,Общегеографические методы. Исследования и исследователи,Средний,7,single,B
t01_m.md,01,Общегеографические методы. Исследования и исследователи,Средний,8,single,D
t01_m.md,01,Общегеографические методы. Исследования и исследователи,Средний,9,single,D
t01_m.md,01,Общегеографические методы. Исследования и исследователи,Средний,10,single,A
t01_m.md,01,Общегеографические методы. Исследования и исследователи,Средний,11,single,D
t01_m.md,01,Общегеографические методы. Исследования и исследователи,Средний,12,single,C
t01_m.md,01,Общегеографические методы. Исследования и исследователи,Средний,13,single,A
t01_m.md,01,Общегеографические методы. Исследования и исследователи,Средний,14,single,D
t01_m.md,01,Общегеографические методы. Исследования и исследователи,Средний,15,single,A
t01_m.md,01,Общегеографические методы. Исследования и исследователи,Средний,16,single,A
t01_m.md,01,Общегеографические методы. Исследования и исследователи,Средний,17,single,A
t01_m.md,01,Общегеографические методы. Исследования и исследователи,Средний,18,single,D
t01_m.md,01,Общегеографические методы. Исследования и исследователи,Средний,19,single,A
t01_m.md,01,Общегеографические методы. Исследования и исследователи,Средний,20,single,A
t01_m.md,01,Общегеографические методы. Исследования и исследователи,Средний,21,single,D
t01_m.md,01,Общегеографические методы. Исследования и исследователи,Средний,22,single,B
t01_m.md,01,Общегеографические методы. Исследования и исследователи,Средний,23,single,A
t01_m.md,01,Общегеографические методы. Исследования и исследователи,Средний,24,single,D
t01_m.md,01,Общегеографические методы. Исследования и исследователи,Средний,25,single,B
t01_m.md,01,Общегеографические методы. Исследования и исследователи,Средний,26,context_single,A
t01_m.md,01,Общегеографические методы. Исследования и исследователи,Средний,27,context_single,A
t01_m.md,01,Общегеографические методы. Исследования и исследователи,Средний,28,context_single,C
t01_m.md,01,Общегеографические методы. Исследования и исследователи,Средний,29,context_single,B
